type, img
ENTJ, https://www.16personalities.com/static/animations/type-descriptions/introductions/commander.svg?v=2
ENTP, https://www.16personalities.com/static/animations/type-descriptions/introductions/debater.svg?v=2
ENFJ, https://www.16personalities.com/static/animations/type-descriptions/introductions/protagonist.svg?v=2
ENFP, https://www.16personalities.com/static/animations/type-descriptions/introductions/campaigner.svg?v=2
ESTJ, https://www.16personalities.com/static/animations/type-descriptions/introductions/executive.svg?v=2
ESTP, https://www.16personalities.com/static/animations/type-descriptions/introductions/entrepreneur.svg?v=2
ESFJ, https://www.16personalities.com/static/animations/type-descriptions/introductions/consul.svg?v=2
ESFP, https://www.16personalities.com/static/animations/type-descriptions/introductions/entertainer.svg?v=2
INTJ, https://www.16personalities.com/static/animations/type-descriptions/introductions/architect.svg?v=2
INTP, https://www.16personalities.com/static/animations/type-descriptions/introductions/logician.svg?v=2
INFJ, https://www.16personalities.com/static/animations/type-descriptions/introductions/advocate.svg?v=2
INFP, https://www.16personalities.com/static/animations/type-descriptions/introductions/mediator.svg?v=2
ISTJ, https://www.16personalities.com/static/animations/type-descriptions/introductions/logistician.svg?v=2
ISTP, https://www.16personalities.com/static/animations/type-descriptions/introductions/virtuoso.svg?v=2
ISFJ, https://www.16personalities.com/static/animations/type-descriptions/introductions/defender.svg?v=2
ISFP, https://www.16personalities.com/static/animations/type-descriptions/introductions/adventurer.svg?v=2
